BUREAU_ID,CUSTOMER_ID,CREDIT_SCORE,ACTIVE_LINES,INQUIRIES_6M
BUR-00001,RET-00001,799,4,1
BUR-00002,RET-00002,746,2,0
BUR-00003,RET-00003,686,2,0
BUR-00004,RET-00004,819,2,0
BUR-00005,RET-00005,725,0,0
BUR-00006,RET-00006,607,3,0
BUR-00007,RET-00007,795,5,1
BUR-00008,RET-00008,746,1,2
BUR-00009,RET-00009,779,2,1
BUR-00010,RET-00010,701,2,0
BUR-00011,RET-00011,785,3,0
BUR-00012,RET-00012,814,3,0
BUR-00013,RET-00013,702,4,1
BUR-00014,RET-00014,846,2,0
BUR-00015,RET-00015,861,3,2
BUR-00016,RET-00016,453,2,0
BUR-00017,RET-00017,752,0,0
BUR-00018,RET-00018,699,0,0
BUR-00019,RET-00019,806,1,0
BUR-00020,RET-00020,841,2,3
BUR-00021,RET-00021,604,2,0
BUR-00022,RET-00022,662,0,1
BUR-00023,RET-00023,684,3,2
BUR-00024,RET-00024,694,3,1
BUR-00025,RET-00025,690,2,0
BUR-00026,RET-00026,619,1,0
BUR-00027,RET-00027,472,4,1
BUR-00028,RET-00028,623,1,1
BUR-00029,RET-00029,706,1,0
BUR-00030,RET-00030,811,3,0
BUR-00031,RET-00031,723,2,1
BUR-00032,RET-00032,615,5,0
BUR-00033,RET-00033,721,0,0
BUR-00034,RET-00034,578,0,0
BUR-00035,RET-00035,713,2,0
BUR-00036,RET-00036,481,1,0
BUR-00037,RET-00037,661,1,1
BUR-00038,RET-00038,690,0,0
BUR-00039,RET-00039,828,0,1
BUR-00040,RET-00040,807,0,1
BUR-00041,RET-00041,766,5,0
BUR-00042,RET-00042,674,4,0
BUR-00043,RET-00043,819,1,0
BUR-00044,RET-00044,823,2,2
BUR-00045,RET-00045,594,2,1
BUR-00046,RET-00046,787,0,1
BUR-00047,RET-00047,627,1,1
BUR-00048,RET-00048,804,0,1
BUR-00049,RET-00049,818,3,0
BUR-00050,RET-00050,779,0,1
BUR-00051,RET-00051,781,6,1
BUR-00052,RET-00052,639,1,2
BUR-00053,RET-00053,676,2,0
BUR-00054,RET-00054,700,1,2
BUR-00055,RET-00055,613,2,0
BUR-00056,RET-00056,759,1,0
BUR-00057,RET-00057,644,3,0
BUR-00058,RET-00058,858,1,0
BUR-00059,RET-00059,643,5,0
BUR-00060,RET-00060,742,0,0
BUR-00061,RET-00061,823,2,0
BUR-00062,RET-00062,558,3,0
BUR-00063,RET-00063,881,0,0
BUR-00064,RET-00064,768,2,1
BUR-00065,RET-00065,890,0,0
BUR-00066,RET-00066,810,1,4
BUR-00067,RET-00067,826,0,0
BUR-00068,RET-00068,872,2,1
BUR-00069,RET-00069,671,2,1
BUR-00070,RET-00070,683,2,3
BUR-00071,RET-00071,836,0,0
BUR-00072,RET-00072,779,3,0
BUR-00073,RET-00073,844,2,0
BUR-00074,RET-00074,540,2,0
BUR-00075,RET-00075,634,1,0
BUR-00076,RET-00076,579,2,0
BUR-00077,RET-00077,805,1,1
BUR-00078,RET-00078,799,4,0
BUR-00079,RET-00079,752,3,0
BUR-00080,RET-00080,725,1,0
BUR-00081,RET-00081,759,1,2
BUR-00082,RET-00082,728,3,0
BUR-00083,RET-00083,802,1,0
BUR-00084,RET-00084,695,0,2
BUR-00085,RET-00085,653,3,2
BUR-00086,RET-00086,754,0,1
BUR-00087,RET-00087,732,0,1
BUR-00088,RET-00088,786,3,1
BUR-00089,RET-00089,796,4,1
BUR-00090,RET-00090,746,2,0
BUR-00091,RET-00091,724,3,0
BUR-00092,RET-00092,776,0,0
BUR-00093,RET-00093,689,3,1
BUR-00094,RET-00094,659,1,0
BUR-00095,RET-00095,842,1,0
BUR-00096,RET-00096,537,1,0
BUR-00097,RET-00097,743,3,1
BUR-00098,RET-00098,844,1,0
BUR-00099,RET-00099,597,4,0
BUR-00100,RET-00100,756,4,1
BUR-00101,RET-00101,802,2,0
BUR-00102,RET-00102,813,3,2
BUR-00103,RET-00103,768,2,1
BUR-00104,RET-00104,614,3,2
BUR-00105,RET-00105,715,2,0
BUR-00106,RET-00106,739,6,1
BUR-00107,RET-00107,770,3,0
BUR-00108,RET-00108,819,5,0
BUR-00109,RET-00109,754,1,0
BUR-00110,RET-00110,629,1,1
BUR-00111,RET-00111,789,3,0
BUR-00112,RET-00112,694,6,1
BUR-00113,RET-00113,737,0,0
BUR-00114,RET-00114,750,3,1
BUR-00115,RET-00115,725,1,0
