COLLATERAL_ID,LOAN_ID,SECURITY_TYPE,ASSESSED_VAL
COL-00001,LN-HM-00001,Mortgage,5700000.0
COL-00002,LN-HM-00002,Mortgage,8140000.0
COL-00003,LN-HM-00003,Mortgage,4830000.0
COL-00004,LN-HM-00004,Mortgage,11660000.0
COL-00005,LN-HM-00005,Hypothecation,2070000.0
COL-00006,LN-HM-00006,Hypothecation,1920000.0
COL-00007,LN-HM-00007,Hypothecation,3390000.0
COL-00008,LN-HM-00008,Mortgage,4410000.0
COL-00009,LN-HM-00009,None,0.0
COL-00010,LN-HM-00010,Mortgage,6050000.0
COL-00011,LN-HM-00011,None,0.0
COL-00012,LN-HM-00012,None,0.0
COL-00013,LN-HM-00013,Mortgage,3910000.0
COL-00014,LN-HM-00014,Mortgage,1130000.0
COL-00015,LN-HM-00015,None,0.0
COL-00016,LN-HM-00016,Hypothecation,500000.0
COL-00017,LN-HM-00017,Mortgage,1800000.0
COL-00018,LN-HM-00018,None,0.0
COL-00019,LN-HM-00019,None,0.0
COL-00020,LN-HM-00020,Mortgage,5700000.0
COL-00021,LN-HM-00021,Mortgage,1040000.0
COL-00022,LN-HM-00022,Mortgage,6010000.0
COL-00023,LN-HM-00023,Mortgage,4120000.0
COL-00024,LN-HM-00024,Mortgage,7670000.0
COL-00025,LN-HM-00025,Mortgage,13090000.0
COL-00026,LN-HM-00026,None,0.0
COL-00027,LN-HM-00027,Mortgage,4640000.0
COL-00028,LN-HM-00028,Mortgage,8810000.0
COL-00029,LN-HM-00029,Mortgage,3230000.0
COL-00030,LN-HM-00030,Mortgage,12190000.0
COL-00031,LN-HM-00031,None,0.0
COL-00032,LN-HM-00032,Hypothecation,1260000.0
COL-00033,LN-HM-00033,Hypothecation,600000.0
COL-00034,LN-HM-00034,Mortgage,6230000.0
COL-00035,LN-HM-00035,Mortgage,1310000.0
COL-00036,LN-HM-00036,None,0.0
COL-00037,LN-HM-00037,Hypothecation,3070000.0
COL-00038,LN-HM-00038,None,0.0
COL-00039,LN-HM-00039,Hypothecation,620000.0
COL-00040,LN-HM-00040,Mortgage,7570000.0
COL-00041,LN-HM-00041,Hypothecation,2660000.0
COL-00042,LN-HM-00042,Mortgage,1260000.0
COL-00043,LN-HM-00043,None,0.0
COL-00044,LN-HM-00044,Mortgage,5120000.0
COL-00045,LN-HM-00045,Mortgage,7420000.0
COL-00046,LN-HM-00046,Hypothecation,670000.0
COL-00047,LN-HM-00047,Mortgage,9910000.0
COL-00048,LN-HM-00048,Mortgage,3540000.0
