CUSTOMER_ID,AGE,GENDER,MARITAL_STATUS,CATEGORY,OCCUPATION,GROSS_MONTHLY_INC,MONTHLY_DEDUCTIONS,NET_MONTHLY_INC,AVG_CREDIT_BAL_6M
RET-00001,42,M,Married,GEN,Salaried,105000.0,17000.0,88000.0,158000.0
RET-00002,36,M,Married,OBC,Self-Employed Professional,104000.0,7000.0,97000.0,247000.0
RET-00003,44,M,Unmarried,GEN,Salaried,88000.0,11000.0,77000.0,182000.0
RET-00004,53,M,Unmarried,OBC,Salaried,138000.0,24000.0,114000.0,171000.0
RET-00005,35,M,Married,OBC,Salaried,118000.0,19000.0,99000.0,245000.0
RET-00006,35,M,Married,GEN,Self-Employed Professional,113000.0,8000.0,105000.0,93000.0
RET-00007,53,M,Married,GEN,Salaried,166000.0,19000.0,147000.0,148000.0
RET-00008,45,F,Married,SC,Self-Employed Professional,74000.0,6000.0,68000.0,139000.0
RET-00009,33,M,Married,GEN,Salaried,76000.0,9000.0,67000.0,153000.0
RET-00010,43,F,Married,GEN,Salaried,120000.0,24000.0,96000.0,203000.0
RET-00011,33,F,Unmarried,Minority,Salaried,66000.0,12000.0,54000.0,96000.0
RET-00012,33,M,Unmarried,OBC,Salaried,98000.0,19000.0,79000.0,67000.0
RET-00013,40,F,Unmarried,OBC,Salaried,52000.0,6000.0,46000.0,66000.0
RET-00014,21,F,Married,SC,Salaried,25000.0,4000.0,21000.0,42000.0
RET-00015,21,M,Unmarried,GEN,Self-Employed Professional,105000.0,12000.0,93000.0,99000.0
RET-00016,32,M,Married,GEN,Self-Employed Non-Professional,29000.0,4000.0,25000.0,52000.0
RET-00017,27,M,Married,SC,Self-Employed Professional,48000.0,6000.0,42000.0,46000.0
RET-00018,41,F,Unmarried,SC,Salaried,120000.0,14000.0,106000.0,79000.0
RET-00019,28,M,Married,GEN,Salaried,120000.0,28000.0,92000.0,121000.0
RET-00020,23,M,Married,GEN,Salaried,148000.0,26000.0,122000.0,144000.0
RET-00021,52,M,Married,GEN,Salaried,25000.0,6000.0,19000.0,48000.0
RET-00022,35,M,Married,SC,Salaried,87000.0,14000.0,73000.0,125000.0
RET-00023,38,M,Unmarried,GEN,Salaried,63000.0,9000.0,54000.0,36000.0
RET-00024,23,F,Unmarried,Minority,Salaried,132000.0,19000.0,113000.0,287000.0
RET-00025,32,M,Unmarried,Minority,Salaried,177000.0,29000.0,148000.0,173000.0
RET-00026,39,F,Unmarried,SC,Salaried,33000.0,6000.0,27000.0,52000.0
RET-00027,26,F,Unmarried,OBC,Salaried,74000.0,16000.0,58000.0,108000.0
RET-00028,41,M,Unmarried,GEN,Salaried,121000.0,17000.0,104000.0,305000.0
RET-00029,31,M,Married,GEN,Self-Employed Professional,60000.0,8000.0,52000.0,59000.0
RET-00030,35,F,Unmarried,OBC,Salaried,208000.0,27000.0,181000.0,156000.0
RET-00031,31,F,Married,GEN,Salaried,57000.0,14000.0,43000.0,49000.0
RET-00032,56,M,Unmarried,GEN,Salaried,61000.0,8000.0,53000.0,103000.0
RET-00033,37,M,Married,OBC,Salaried,38000.0,6000.0,32000.0,33000.0
