CUSTOMER_ID,EXISTING_EMI,TOTAL_ASSETS,TOTAL_OBLIGATIONS
RET-00001,9000.0,12290000.0,268811.8616835586
RET-00002,39000.0,2480000.0,462343.9293349167
RET-00003,19000.0,6560000.0,299198.4478616254
RET-00004,43000.0,4760000.0,1421278.9942038069
RET-00005,3000.0,13260000.0,104633.94419316993
RET-00006,28000.0,2110000.0,989546.0107987094
RET-00007,43000.0,9370000.0,660098.2321982726
RET-00008,11000.0,6790000.0,264579.1555971643
RET-00009,8000.0,6510000.0,172500.90832577573
RET-00010,27000.0,7480000.0,757103.5336738208
RET-00011,23000.0,4650000.0,520308.20809894946
RET-00012,18000.0,3240000.0,449860.3557879889
RET-00013,19000.0,1780000.0,460737.4754308676
RET-00014,5000.0,2440000.0,74203.12826268797
RET-00015,13000.0,6690000.0,417992.05711688974
RET-00016,0.0,1720000.0,0.0
RET-00017,14000.0,1420000.0,214806.90511654853
RET-00018,35000.0,11350000.0,712491.6740643202
RET-00019,32000.0,8610000.0,475751.1662432388
RET-00020,7000.0,12080000.0,129020.54957878024
RET-00021,6000.0,1220000.0,210104.93916615425
RET-00022,29000.0,3190000.0,318743.4093145258
RET-00023,17000.0,5290000.0,506112.729080707
RET-00024,33000.0,9670000.0,511413.2467215335
RET-00025,64000.0,3970000.0,1104210.9422253498
RET-00026,10000.0,770000.0,285178.95771262015
RET-00027,9000.0,8660000.0,99496.38453313198
RET-00028,35000.0,6160000.0,560765.8909346982
RET-00029,24000.0,6860000.0,315305.8919050535
RET-00030,34000.0,15860000.0,832089.1150365386
RET-00031,3000.0,2100000.0,95843.32064992838
RET-00032,1000.0,3810000.0,29813.820778352692
RET-00033,4000.0,3580000.0,71191.95208207447
RET-00034,23000.0,9180000.0,757567.0051516432
RET-00035,6000.0,2920000.0,132635.66728633535
RET-00036,22000.0,2870000.0,745870.709931131
RET-00037,55000.0,6030000.0,663702.3400518611
RET-00038,3000.0,2530000.0,95668.31017464063
RET-00039,2000.0,740000.0,37428.73084285009
RET-00040,29000.0,12580000.0,765557.2041884506
RET-00041,1000.0,12120000.0,28146.37180782489
RET-00042,3000.0,1570000.0,45562.522228153
RET-00043,15000.0,8200000.0,335368.7787091065
RET-00044,12000.0,11370000.0,267893.32855052623
RET-00045,19000.0,8100000.0,459542.518043405
RET-00046,2000.0,3730000.0,54993.40023081198
RET-00047,15000.0,16630000.0,327473.04916937836
RET-00048,18000.0,6910000.0,181491.58221569457
RET-00049,24000.0,5540000.0,431051.5010823813
RET-00050,0.0,10610000.0,0.0
RET-00051,23000.0,2910000.0,444046.8133912125
RET-00052,1000.0,730000.0,28411.60711738666
