LOAN_ID,CUSTOMER_ID,LOAN_TYPE,SANCTION_AMT,INT_RATE,TENURE_MTHS
LN-HM-00001,RET-00001,Home Loan,5190000.0,9.17,180
LN-HM-00002,RET-00002,Home Loan,5920000.0,8.74,300
LN-HM-00003,RET-00003,Home Loan,3870000.0,9.29,180
LN-HM-00004,RET-00004,Home Loan,7840000.0,8.89,300
LN-HM-00005,RET-00005,Vehicle Loan,1880000.0,9.3,48
LN-HM-00006,RET-00006,Vehicle Loan,1770000.0,9.47,36
LN-HM-00007,RET-00007,Vehicle Loan,2380000.0,10.47,48
LN-HM-00008,RET-00008,Home Loan,3940000.0,9.23,240
LN-HM-00009,RET-00009,Personal Loan,500000.0,12.16,12
LN-HM-00010,RET-00010,Home Loan,5220000.0,8.59,240
LN-HM-00011,RET-00011,Personal Loan,620000.0,11.51,60
LN-HM-00012,RET-00012,Personal Loan,1320000.0,12.37,24
LN-HM-00013,RET-00013,Home Loan,3080000.0,9.07,240
LN-HM-00014,RET-00014,Home Loan,810000.0,9.35,180
LN-HM-00015,RET-00015,Personal Loan,1310000.0,13.98,60
LN-HM-00016,RET-00016,Vehicle Loan,470000.0,10.62,60
LN-HM-00017,RET-00017,Home Loan,1560000.0,8.56,120
LN-HM-00018,RET-00018,Personal Loan,950000.0,11.7,48
LN-HM-00019,RET-00019,Personal Loan,1590000.0,12.26,24
LN-HM-00020,RET-00020,Home Loan,5190000.0,8.91,300
LN-HM-00021,RET-00021,Home Loan,820000.0,8.6,240
LN-HM-00022,RET-00022,Home Loan,4870000.0,9.22,180
LN-HM-00023,RET-00023,Home Loan,3320000.0,9.22,240
LN-HM-00024,RET-00024,Home Loan,6630000.0,9.08,240
LN-HM-00025,RET-00025,Home Loan,10260000.0,8.54,120
LN-HM-00026,RET-00026,Personal Loan,360000.0,12.67,48
LN-HM-00027,RET-00027,Home Loan,3290000.0,9.47,180
LN-HM-00028,RET-00028,Home Loan,7010000.0,9.06,240
LN-HM-00029,RET-00029,Home Loan,2340000.0,8.75,180
LN-HM-00030,RET-00030,Home Loan,11230000.0,8.86,240
LN-HM-00031,RET-00031,Personal Loan,550000.0,13.84,60
LN-HM-00032,RET-00032,Vehicle Loan,1170000.0,9.28,36
LN-HM-00033,RET-00033,Vehicle Loan,550000.0,9.47,72
LN-HM-00034,RET-00034,Home Loan,4520000.0,8.63,240
LN-HM-00035,RET-00035,Home Loan,850000.0,9.07,300
LN-HM-00036,RET-00036,Personal Loan,590000.0,12.96,60
LN-HM-00037,RET-00037,Vehicle Loan,2700000.0,9.43,48
LN-HM-00038,RET-00038,Personal Loan,420000.0,11.93,24
LN-HM-00039,RET-00039,Vehicle Loan,500000.0,10.44,36
LN-HM-00040,RET-00040,Home Loan,7140000.0,9.41,120
LN-HM-00041,RET-00041,Vehicle Loan,1890000.0,9.84,84
LN-HM-00042,RET-00042,Home Loan,1040000.0,8.95,300
LN-HM-00043,RET-00043,Personal Loan,2850000.0,13.95,48
LN-HM-00044,RET-00044,Home Loan,4520000.0,8.79,180
LN-HM-00045,RET-00045,Home Loan,7020000.0,9.28,120
LN-HM-00046,RET-00046,Vehicle Loan,600000.0,9.39,36
LN-HM-00047,RET-00047,Home Loan,7790000.0,9.18,240
LN-HM-00048,RET-00048,Home Loan,2760000.0,8.54,300
LN-HM-00049,RET-00049,Home Loan,2450000.0,9.44,300
LN-HM-00050,RET-00050,Personal Loan,1450000.0,13.49,36
LN-HM-00051,RET-00051,Personal Loan,810000.0,13.16,12
LN-HM-00052,RET-00052,Home Loan,1380000.0,9.37,240
LN-HM-00053,RET-00053,Personal Loan,630000.0,11.09,36
LN-HM-00054,RET-00054,Home Loan,3340000.0,8.88,240
LN-HM-00055,RET-00055,Personal Loan,370000.0,11.84,12
LN-HM-00056,RET-00056,Personal Loan,1580000.0,12.72,48
LN-HM-00057,RET-00057,Home Loan,12050000.0,9.37,180
LN-HM-00058,RET-00058,Personal Loan,580000.0,11.69,48
LN-HM-00059,RET-00059,Home Loan,2840000.0,8.62,240
LN-HM-00060,RET-00060,Vehicle Loan,1150000.0,10.36,48
LN-HM-00061,RET-00061,Home Loan,16380000.0,9.47,240
LN-HM-00062,RET-00062,Home Loan,4670000.0,8.74,300
LN-HM-00063,RET-00063,Home Loan,3910000.0,9.43,300
LN-HM-00064,RET-00064,Home Loan,5010000.0,9.37,300
LN-HM-00065,RET-00065,Vehicle Loan,1390000.0,10.77,60
LN-HM-00066,RET-00066,Personal Loan,880000.0,13.66,12
LN-HM-00067,RET-00067,Home Loan,6490000.0,8.82,300
LN-HM-00068,RET-00068,Vehicle Loan,2270000.0,10.07,36
LN-HM-00069,RET-00069,Home Loan,1470000.0,8.8,120
LN-HM-00070,RET-00070,Home Loan,2720000.0,9.29,120
LN-HM-00071,RET-00071,Vehicle Loan,640000.0,9.09,72
LN-HM-00072,RET-00072,Vehicle Loan,2060000.0,9.57,84
LN-HM-00073,RET-00073,Home Loan,9330000.0,9.44,120
LN-HM-00074,RET-00074,Vehicle Loan,5130000.0,9.23,60
LN-HM-00075,RET-00075,Home Loan,1550000.0,8.7,240
LN-HM-00076,RET-00076,Home Loan,4510000.0,9.24,180
LN-HM-00077,RET-00077,Home Loan,3230000.0,8.53,300
LN-HM-00078,RET-00078,Vehicle Loan,800000.0,10.96,72
LN-HM-00079,RET-00079,Personal Loan,1060000.0,12.99,60
LN-HM-00080,RET-00080,Personal Loan,780000.0,13.16,12
LN-HM-00081,RET-00081,Home Loan,9220000.0,9.12,180
LN-HM-00082,RET-00082,Home Loan,2610000.0,9.36,180
LN-HM-00083,RET-00083,Personal Loan,610000.0,12.46,48
LN-HM-00084,RET-00084,Home Loan,2830000.0,8.8,180
LN-HM-00085,RET-00085,Personal Loan,160000.0,12.72,60
LN-HM-00086,RET-00086,Personal Loan,510000.0,11.23,12
LN-HM-00087,RET-00087,Home Loan,3000000.0,8.7,120
LN-HM-00088,RET-00088,Personal Loan,2310000.0,11.82,60
LN-HM-00089,RET-00089,Personal Loan,410000.0,11.71,48
LN-HM-00090,RET-00090,Home Loan,2800000.0,9.32,240
LN-HM-00091,RET-00091,Personal Loan,1140000.0,11.77,48
LN-HM-00092,RET-00092,Home Loan,2460000.0,8.72,180
LN-HM-00093,RET-00093,Vehicle Loan,1100000.0,9.15,48
LN-HM-00094,RET-00094,Home Loan,2930000.0,8.96,300
LN-HM-00095,RET-00095,Home Loan,3060000.0,9.18,300
LN-HM-00096,RET-00096,Vehicle Loan,500000.0,10.02,72
LN-HM-00097,RET-00097,Personal Loan,580000.0,11.7,12
LN-HM-00098,RET-00098,Vehicle Loan,2070000.0,9.26,36
LN-HM-00099,RET-00099,Vehicle Loan,1780000.0,9.06,48
LN-HM-00100,RET-00100,Home Loan,8000000.0,9.19,180
LN-HM-00101,RET-00101,Home Loan,6230000.0,8.85,120
LN-HM-00102,RET-00102,Vehicle Loan,500000.0,9.49,48
LN-HM-00103,RET-00103,Vehicle Loan,650000.0,9.18,48
LN-HM-00104,RET-00104,Home Loan,1880000.0,8.98,180
LN-HM-00105,RET-00105,Vehicle Loan,700000.0,9.85,84
LN-HM-00106,RET-00106,Personal Loan,360000.0,11.43,48
LN-HM-00107,RET-00107,Home Loan,2100000.0,8.65,120
LN-HM-00108,RET-00108,Home Loan,1610000.0,9.48,300
LN-HM-00109,RET-00109,Personal Loan,700000.0,13.99,48
LN-HM-00110,RET-00110,Personal Loan,510000.0,13.85,60
LN-HM-00111,RET-00111,Home Loan,1460000.0,8.98,180
LN-HM-00112,RET-00112,Home Loan,4000000.0,8.59,120
LN-HM-00113,RET-00113,Vehicle Loan,1940000.0,10.49,60
LN-HM-00114,RET-00114,Vehicle Loan,1030000.0,9.96,48
