LOAN_ID,SIMULATED_PD,OFFICER_DECISION,DEFAULT_STATUS,CALCULATED_FOIR,CALCULATED_LTV
LN-HM-00001,0.4731,Reject,0,0.5921,0.9105
LN-HM-00002,0.6126,Reject,0,0.8426,0.7273
LN-HM-00003,0.9264,Reject,1,0.6696,0.8012
LN-HM-00004,0.4563,Reject,0,0.7841,0.6724
LN-HM-00005,0.1173,Approve,0,0.4242,0.9082
LN-HM-00006,0.7586,Reject,0,0.7493,0.9219
LN-HM-00007,0.1713,Reject,0,0.6259,0.7021
LN-HM-00008,0.5725,Reject,0,0.6356,0.8934
LN-HM-00009,0.4709,Reject,0,0.6903,0.0
LN-HM-00010,0.5133,Reject,0,0.605,0.8628
LN-HM-00011,0.1105,Reject,0,0.5551,0.0
LN-HM-00012,0.5167,Reject,0,0.8201,0.0
LN-HM-00013,0.6186,Reject,1,0.901,0.7877
LN-HM-00014,0.3002,Review,0,0.5354,0.7168
LN-HM-00015,0.0,Approve,0,0.414,0.0
LN-HM-00016,0.4356,Reject,0,0.3493,0.94
LN-HM-00017,0.6405,Reject,1,0.6957,0.8667
LN-HM-00018,0.2474,Review,0,0.499,0.0
LN-HM-00019,0.44,Reject,0,0.892,0.0
LN-HM-00020,0.1421,Approve,0,0.3394,0.9105
LN-HM-00021,0.429,Reject,1,0.5267,0.7885
LN-HM-00022,0.8909,Reject,1,0.9084,0.8103
LN-HM-00023,0.9361,Reject,1,0.7515,0.8058
LN-HM-00024,0.9054,Reject,1,0.7045,0.8644
LN-HM-00025,0.6847,Reject,1,1.0815,0.7838
LN-HM-00026,0.5432,Reject,1,0.5939,0.0
LN-HM-00027,0.8014,Reject,1,0.5851,0.7091
LN-HM-00028,0.7256,Reject,1,0.8127,0.7957
LN-HM-00029,0.5672,Reject,1,0.7898,0.7245
LN-HM-00030,0.3985,Reject,0,0.6444,0.9212
LN-HM-00031,0.0263,Approve,0,0.2764,0.0
LN-HM-00032,0.61,Reject,1,0.6288,0.9286
LN-HM-00033,0.0899,Approve,0,0.3695,0.9167
LN-HM-00034,0.8357,Reject,1,0.7825,0.7255
LN-HM-00035,0.3134,Review,0,0.527,0.6489
LN-HM-00036,0.8206,Reject,1,0.5621,0.0
LN-HM-00037,0.7411,Reject,1,0.7818,0.8795
LN-HM-00038,0.6298,Reject,1,0.7112,0.0
LN-HM-00039,0.4301,Reject,0,0.6513,0.8065
LN-HM-00040,0.6894,Reject,0,0.8464,0.9432
LN-HM-00041,0.0472,Approve,0,0.2079,0.7105
LN-HM-00042,0.3351,Review,0,0.3654,0.8254
LN-HM-00043,0.0,Approve,0,0.4484,0.0
LN-HM-00044,0.4205,Reject,1,0.603,0.8828
LN-HM-00045,1.0,Reject,1,0.7956,0.9461
LN-HM-00046,0.0,Approve,0,0.4709,0.8955
LN-HM-00047,0.0986,Approve,0,0.4804,0.7861
LN-HM-00048,0.356,Reject,0,0.65,0.7797
LN-HM-00049,0.5963,Reject,1,0.7427,0.8537
LN-HM-00050,0.2628,Review,0,0.502,0.0
LN-HM-00051,0.5489,Reject,1,1.645,0.0
LN-HM-00052,0.3101,Review,0,0.474,0.902
LN-HM-00053,0.2561,Review,1,0.4133,0.0
LN-HM-00054,0.3345,Reject,1,0.6466,0.7032
LN-HM-00055,0.6938,Reject,1,0.8227,0.0
LN-HM-00056,0.0,Approve,0,0.3842,0.0
LN-HM-00057,0.7558,Reject,1,0.5631,0.9269
LN-HM-00058,0.0,Approve,0,0.433,0.0
LN-HM-00059,0.465,Reject,0,0.5837,0.7474
LN-HM-00060,0.3664,Review,0,0.5408,0.8394
LN-HM-00061,0.6963,Reject,1,0.6864,0.9259
LN-HM-00062,0.7161,Reject,1,0.4935,0.9015
LN-HM-00063,0.1495,Approve,0,0.3201,0.8337
LN-HM-00064,0.1299,Approve,0,0.4183,0.8094
LN-HM-00065,0.0,Approve,0,0.4185,0.6683
LN-HM-00066,0.3663,Reject,0,1.5673,0.0
LN-HM-00067,0.231,Review,1,0.5311,0.6691
LN-HM-00068,0.4209,Reject,1,0.772,0.7094
LN-HM-00069,0.662,Reject,0,0.6014,0.8698
LN-HM-00070,0.6421,Reject,0,0.955,0.7514
LN-HM-00071,0.3521,Reject,0,0.5615,0.6809
LN-HM-00072,0.2284,Reject,1,0.6241,0.8273
LN-HM-00073,0.4836,Reject,0,0.7933,0.701
LN-HM-00074,0.4307,Reject,1,0.4363,0.8814
LN-HM-00075,0.6697,Reject,1,0.5552,0.9172
LN-HM-00076,1.0,Reject,1,0.7924,0.9376
LN-HM-00077,0.6642,Reject,0,0.7254,0.8478
LN-HM-00078,0.0,Approve,0,0.3062,0.8247
LN-HM-00079,0.0,Approve,0,0.3524,0.0
LN-HM-00080,0.5622,Reject,1,0.9961,0.0
LN-HM-00081,0.388,Reject,1,0.8769,0.7103
LN-HM-00082,0.4081,Reject,0,0.6303,0.7092
LN-HM-00083,0.0435,Approve,0,0.3965,0.0
LN-HM-00084,0.7831,Reject,1,0.7209,0.6581
LN-HM-00085,0.26,Review,0,0.3847,0.0
LN-HM-00086,0.5844,Reject,0,1.4282,0.0
LN-HM-00087,0.3311,Review,1,0.5382,0.7059
LN-HM-00088,0.0,Approve,0,0.4921,0.0
LN-HM-00089,0.2353,Reject,0,0.5846,0.0
LN-HM-00090,0.5634,Reject,1,0.6784,0.7609
LN-HM-00091,0.0422,Approve,0,0.4173,0.0
LN-HM-00092,0.401,Reject,0,0.5989,0.9011
LN-HM-00093,0.4566,Reject,0,0.6446,0.6587
LN-HM-00094,0.5057,Reject,1,0.5593,0.672
LN-HM-00095,0.2135,Review,0,0.5367,0.6711
LN-HM-00096,0.8717,Reject,1,0.7307,0.7937
LN-HM-00097,0.5956,Reject,1,1.369,0.0
LN-HM-00098,0.4438,Reject,0,0.746,0.7962
LN-HM-00099,0.5126,Reject,1,0.4476,0.7295
LN-HM-00100,0.6431,Reject,1,0.8285,0.8172
LN-HM-00101,0.675,Reject,1,0.7253,0.806
LN-HM-00102,0.2183,Reject,0,0.6409,0.9259
LN-HM-00103,0.0129,Approve,0,0.4304,0.7386
LN-HM-00104,0.8165,Reject,0,0.626,0.8826
LN-HM-00105,0.1604,Approve,0,0.4711,0.7292
LN-HM-00106,0.0906,Approve,0,0.3676,0.0
LN-HM-00107,0.0,Approve,0,0.4122,0.6818
LN-HM-00108,0.0,Approve,0,0.4429,0.7892
LN-HM-00109,0.0,Approve,0,0.3857,0.0
LN-HM-00110,0.5978,Reject,0,0.5568,0.0
LN-HM-00111,0.0,Approve,0,0.3948,0.7935
LN-HM-00112,0.5609,Reject,0,0.5479,0.7547
LN-HM-00113,0.573,Reject,0,0.7141,0.9108
LN-HM-00114,0.4735,Reject,0,0.6422,0.7687
LN-HM-00115,0.024,Approve,0,0.4178,0.0
LN-HM-00116,0.9096,Reject,1,0.6573,0.864
LN-HM-00117,0.642,Reject,0,0.7533,0.8074
LN-HM-00118,0.5801,Reject,1,0.5113,0.0
LN-HM-00119,0.5013,Reject,0,0.5977,0.6835
LN-HM-00120,0.4418,Reject,0,0.7003,0.0
LN-HM-00121,0.511,Reject,0,0.6206,0.7403
LN-HM-00122,0.0,Approve,0,0.4985,0.8258
LN-HM-00123,0.2118,Reject,0,0.5605,0.7398
LN-HM-00124,0.2537,Reject,0,0.6215,0.7471
LN-HM-00125,0.4347,Reject,1,0.885,0.7333
LN-HM-00126,0.0,Approve,0,0.4499,0.0
