Financial Metric (INR),FY 2023-24,FY 2024-25,FY 2025-26
Gross Turnover / Revenue,"2,80,00,000","3,45,00,000","4,20,00,000"
Cost of Goods Sold (COGS),"1,65,00,000","2,00,00,000","2,40,00,000"
Operating Expenses (OPEX),"38,00,000","45,00,000","52,00,000"
Depreciation & Amortization,"12,00,000","14,00,000","16,00,000"
Interest & Finance Cost,"9,50,000","11,00,000","12,00,000"
Profit After Tax (PAT),"41,62,500","56,25,000","75,00,000"
Cash & Bank Balances,"18,00,000","22,00,000","31,00,000"
Sundry Debtors / Receivables,"45,00,000","56,00,000","68,00,000"
Inventory / Stock,"32,00,000","41,00,000","50,00,000"
Net Fixed Assets (PPE),"1,45,00,000","1,68,00,000","1,95,00,000"
Sundry Creditors / Payables,"31,00,000","38,00,000","46,00,000"
Short Term Borrowings (CC),"40,00,000","48,00,000","55,00,000"
Long Term Secured Debt,"50,00,000","42,00,000","35,00,000"
Paid Up Equity Capital,"60,00,000","60,00,000","60,00,000"
Reserves & Surplus (Net Worth),"59,00,000","97,00,000","1,48,00,000"
